symbol,value,change,timestamp
AIRTEL,114.98,114.98,2026-02-10T11:21:26.477735
BHL,15.0,15.0,2026-02-10T11:21:26.477768
FDHB,595.11,594.89,2026-02-10T11:21:26.477791
FMBCH,2850.0,2850.0,2026-02-10T11:21:26.477813
ICON,15.97,15.97,2026-02-10T11:21:26.477834
ILLOVO,2680.08,2680.08,2026-02-10T11:21:26.477858
MPICO,19.45,19.45,2026-02-10T11:21:26.477877
NBM,11719.8,11719.7,2026-02-10T11:21:26.477897
NBS,891.44,891.39,2026-02-10T11:21:26.477916
NICO,1714.58,1714.58,2026-02-10T11:21:26.477936
NITL,3934.44,3934.44,2026-02-10T11:21:26.477955
OMU,3790.05,3790.05,2026-02-10T11:21:26.477977
PCL,7827.99,7827.99,2026-02-10T11:21:26.477998
STANDARD,4238.95,4238.95,2026-02-10T11:21:26.478018
SUNBIRD,1700.02,1700.02,2026-02-10T11:21:26.478038
TNM,31.25,31.25,2026-02-10T11:21:26.478057
