symbol,value,change,timestamp
AIRTEL,114.99,114.99,2026-02-09T01:34:12.779988
BHL,15.0,15.0,2026-02-09T01:34:12.780022
FDHB,596.99,596.06,2026-02-09T01:34:12.780045
FMBCH,2937.72,2929.43,2026-02-09T01:34:12.780066
ICON,15.97,15.97,2026-02-09T01:34:12.780087
ILLOVO,2680.04,2680.08,2026-02-09T01:34:12.780107
MPICO,19.45,19.44,2026-02-09T01:34:12.780127
NBM,11719.83,11719.8,2026-02-09T01:34:12.780147
NBS,891.68,891.52,2026-02-09T01:34:12.780167
NICO,1717.62,1715.92,2026-02-09T01:34:12.780188
NITL,3934.46,3934.44,2026-02-09T01:34:12.780209
OMU,3790.05,3790.05,2026-02-09T01:34:12.780229
PCL,7828.0,7827.99,2026-02-09T01:34:12.780249
STANDARD,4241.58,4239.46,2026-02-09T01:34:12.780269
SUNBIRD,1700.02,1700.02,2026-02-09T01:34:12.780290
TNM,31.25,31.25,2026-02-09T01:34:12.780309
