symbol,open_price,close_price,change_percent,volume,turnover
AIRTEL,114.99,114.99,0.0,50111.0,5762109.0
BHL,15.0,15.0,0.0,60928.0,913905.69
FDHB,596.99,596.06,0.0,109104.0,65033010.0
FMBCH,2937.72,2929.43,0.0,2269.0,6646868.0
ICON,15.97,15.97,0.0,0.0,0.0
ILLOVO,2680.04,2680.08,0.0,14698.0,39391810.0
MPICO,19.45,19.44,0.0,40145.0,780610.37
NBM,11719.83,11719.8,0.0,4044.0,47394860.0
NBS,891.68,891.52,0.0,22459.0,20022540.0
NICO,1717.62,1715.92,0.0,9840.0,16884630.0
NITL,3934.46,3934.44,0.0,545.0,2144271.0
OMU,3790.05,3790.05,0.0,0.0,0.0
PCL,7828.0,7827.99,0.0,46.0,360087.54
STANDARD,4241.58,4239.46,0.0,22524.0,95489600.0
SUNBIRD,1700.02,1700.02,0.0,0.0,0.0
TNM,31.25,31.25,0.0,138342.0,4323178.0
